timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691509410498,247,HTTP Request,200,OK,Thread Group 1-72,text,true,,1716,118,3,3,https://www.daraz.com.bd/,247,0,182
1691509410598,282,HTTP Request,200,OK,Thread Group 1-73,text,true,,1704,118,3,3,https://www.daraz.com.bd/,278,0,218
1691509410697,252,HTTP Request,200,OK,Thread Group 1-74,text,true,,1716,118,3,3,https://www.daraz.com.bd/,252,0,191
1691509410799,239,HTTP Request,200,OK,Thread Group 1-75,text,true,,1728,118,3,3,https://www.daraz.com.bd/,238,0,181
1691509410899,266,HTTP Request,200,OK,Thread Group 1-76,text,true,,1734,118,3,3,https://www.daraz.com.bd/,263,0,199
1691509410998,246,HTTP Request,200,OK,Thread Group 1-77,text,true,,1716,118,3,3,https://www.daraz.com.bd/,245,0,187
1691509411099,274,HTTP Request,200,OK,Thread Group 1-78,text,true,,1740,118,3,3,https://www.daraz.com.bd/,274,0,210
1691509411199,247,HTTP Request,200,OK,Thread Group 1-79,text,true,,1740,118,3,3,https://www.daraz.com.bd/,247,0,186
1691509411298,271,HTTP Request,200,OK,Thread Group 1-80,text,true,,1704,118,3,3,https://www.daraz.com.bd/,271,0,197
1691509411396,253,HTTP Request,200,OK,Thread Group 1-81,text,true,,1740,118,3,3,https://www.daraz.com.bd/,253,0,193
1691509411498,275,HTTP Request,200,OK,Thread Group 1-82,text,true,,1704,118,3,3,https://www.daraz.com.bd/,275,0,198
1691509411612,283,HTTP Request,200,OK,Thread Group 1-83,text,true,,1747,118,3,3,https://www.daraz.com.bd/,283,0,207
1691509411698,334,HTTP Request,200,OK,Thread Group 1-84,text,true,,1747,118,4,4,https://www.daraz.com.bd/,333,0,228
1691509411798,292,HTTP Request,200,OK,Thread Group 1-85,text,true,,1716,118,3,3,https://www.daraz.com.bd/,292,0,230
1691509411898,318,HTTP Request,200,OK,Thread Group 1-86,text,true,,1710,118,4,4,https://www.daraz.com.bd/,318,0,259
1691509412001,239,HTTP Request,200,OK,Thread Group 1-87,text,true,,1740,118,3,3,https://www.daraz.com.bd/,239,0,180
1691509412098,267,HTTP Request,200,OK,Thread Group 1-88,text,true,,1747,118,3,3,https://www.daraz.com.bd/,266,0,199
1691509412197,252,HTTP Request,200,OK,Thread Group 1-89,text,true,,1759,118,3,3,https://www.daraz.com.bd/,249,0,192
1691509412297,277,HTTP Request,200,OK,Thread Group 1-90,text,true,,1722,118,3,3,https://www.daraz.com.bd/,277,0,215
1691509412408,258,HTTP Request,200,OK,Thread Group 1-91,text,true,,1759,118,3,3,https://www.daraz.com.bd/,257,0,197
1691509412503,248,HTTP Request,200,OK,Thread Group 1-92,text,true,,1728,118,3,3,https://www.daraz.com.bd/,247,0,189
1691509412599,251,HTTP Request,200,OK,Thread Group 1-93,text,true,,1747,118,3,3,https://www.daraz.com.bd/,251,0,193
1691509412698,256,HTTP Request,200,OK,Thread Group 1-94,text,true,,1771,118,3,3,https://www.daraz.com.bd/,255,0,197
1691509412799,251,HTTP Request,200,OK,Thread Group 1-95,text,true,,1734,118,3,3,https://www.daraz.com.bd/,251,0,189
1691509412899,253,HTTP Request,200,OK,Thread Group 1-96,text,true,,1753,118,3,3,https://www.daraz.com.bd/,252,0,184
1691509412997,245,HTTP Request,200,OK,Thread Group 1-97,text,true,,1740,118,3,3,https://www.daraz.com.bd/,245,0,187
1691509413097,279,HTTP Request,200,OK,Thread Group 1-98,text,true,,1704,118,3,3,https://www.daraz.com.bd/,279,0,206
1691509413198,260,HTTP Request,200,OK,Thread Group 1-99,text,true,,1728,118,2,2,https://www.daraz.com.bd/,259,0,203
1691509413297,266,HTTP Request,200,OK,Thread Group 1-100,text,true,,1716,118,1,1,https://www.daraz.com.bd/,266,0,205
